JD,Magnitude
2458401.6408,0.558
2458401.6427,0.566
2458403.59,0.595
2458403.5918,0.607
2458404.6624,0.596
2458404.6642,0.597
2458407.6697,0.641
2458409.9877,0.594
2458410.9514,0.598
2458413.6515,0.647
2458413.6535,0.636
2458422.4252,0.729
2458422.4272,0.72
2458422.4292,0.719
2458424.6428,0.758
2458424.645,0.762
2458427.4477,0.782
2458427.4496,0.785
2458427.9799,0.735
2458429.4446,0.772
2458429.4465,0.781
2458429.9027,0.727
2458433.9191,0.764
2458438.478,0.841
2458438.4798,0.84
2458439.6193,0.821
2458439.6214,0.818
2458440.8602,0.788
2458451.338,0.895
2458451.3407,0.87
2458451.6594,0.79
2458451.6612,0.775
2458455.8326,0.835
2458457.3494,0.877
2458457.3513,0.901
2458458.3485,0.899
2458458.3506,0.895
2458459.8293,0.854
2458474.8086,0.882
2458479.3172,0.938
2458479.319,0.934
2458484.7599,0.871
2458485.4129,0.944
2458486.4104,0.919
2458486.4124,0.936
2458491.4403,0.844
2458495.4375,0.77
2458498.3958,0.77
2458500.4046,0.761
2458500.4067,0.784
2458501.2254,0.826
2458501.8683,0.775
2458502.2489,0.83
2458502.2508,0.826
2458507.6606,0.708
2458508.3597,0.66
2458508.6637,0.697
2458509.6609,0.695
2458511.7052,0.672
2458512.2779,0.724
2458512.2797,0.737
2458513.2587,0.723
2458513.2605,0.718
2458514.6484,0.645
2458519.3729,0.7
2458520.24,0.625
2458520.242,0.638
2458520.325,0.621
2458520.3269,0.646
2458521.2424,0.618
2458521.2443,0.634
2458521.3701,0.7
2458521.6355,0.584
2458523.2369,0.614
2458523.2386,0.619
2458523.2404,0.595
2458526.3108,0.578
2458526.3123,0.59
2458527.289,0.56
2458527.291,0.579
2458529.2704,0.556
2458529.2724,0.556
2458530.2626,0.529
2458530.2643,0.536
2458531.3746,0.529
2458532.2837,0.501
2458532.2857,0.513
2458532.3604,0.651
2458533.3708,0.574
2458534.2773,0.518
2458534.2791,0.535
2458535.2577,0.494
2458535.2597,0.493
2458537.3512,0.476
2458537.3646,0.541
2458538.2945,0.46
2458538.2965,0.482
2458541.3313,0.55
2458542.2765,0.46
2458542.2785,0.443
2458543.5671,0.416
2458545.3056,0.482
2458551.3021,0.3
2458551.5956,0.362
2458553.2478,0.378
2458553.3303,0.386
2458553.6636,0.356
2458555.2695,0.378
2458555.2714,0.396
2458555.5,0.366
2458555.6962,0.346
2458556.651,0.359
2458560.6555,0.349
2458561.528,0.367
2458561.6562,0.354
2458563.2842,0.352
2458563.2863,0.362
2458563.3472,0.31
2458564.281,0.386
2458564.2831,0.386
2458564.563,0.377
2458565.2675,0.375
2458565.2698,0.365
2458566.2898,0.349
2458566.2916,0.362
2458566.615,0.362
2458567.35,0.371
2458568.551,0.392
2458571.3479,0.34
2458572.2796,0.402
2458572.2814,0.368
2458572.3544,0.357
2458573.272,0.399
2458573.274,0.378
2458574.2761,0.347
2458574.278,0.338
2458574.3333,0.391
2458575.2847,0.357
2458575.2867,0.343
2458580.2911,0.416
2458580.2931,0.38
2458594.3091,0.363
2458594.3109,0.354
2458598.2908,0.33
2458598.292,0.321
2458707.6018,0.647
2458707.607,0.691
2458710.6035,0.643
2458710.6058,0.641
2458724.5986,0.612
2458724.6011,0.606
2458731.6304,0.621
2458731.6323,0.626
2458741.6519,0.634
2458748.5463,0.645
2458748.5482,0.659
2458757.6591,0.631
2458757.6609,0.647
2458771.585,0.647
2458771.5869,0.66
2458778.5766,0.673
2458778.5782,0.691
2458780.6169,0.669
2458780.6185,0.65
2458781.6435,0.694
2458781.6453,0.694
2458781.9628,0.679
2458789.9083,0.745
2458792.426,0.797
2458792.428,0.839
2458792.9076,0.764
2458795.9044,0.796
2458798.5703,0.86
2458798.5722,0.843
2458802.4214,0.928
2458802.4231,0.926
2458810.8712,0.948
2458811.4203,0.957
2458811.4219,0.951
2458817.8765,1.037
2458818.4365,1.078
2458818.4384,1.077
2458820.7956,1.053
2458834.7865,1.217
2458837.332,1.325
2458841.4149,1.284
2458841.7487,1.281
2458846.8759,1.318
2458847.2907,1.401
2458847.2925,1.397
2458847.3247,1.339
2458847.53472,1.5
2458848.45513,1.218
2458848.5243,1.336
2458849.4131,1.363
2458849.4162,1.362
2458849.67066,1.41
2458850.2949,1.473
2458850.3462,1.407
2458851.3957,1.381
2458851.3976,1.367
2458854.2856,1.439
2458854.3462,1.425
2458854.3483,1.428
2458855.3648,1.439
2458855.3668,1.433
2458855.6861,2.133
2458856.3628,1.36
2458857.21072,1.51
2458858.7016,1.425
2458859.3333,1.615
2458860.364,1.455
2458860.3658,1.471
2458860.375,1.605
2458860.4336,1.452
2458860.4359,1.453
2458860.7787,1.463
2458861.2639,1.45
2458862.40377,1.518
2458862.40377,1.579
2458862.7498,1.487
2458863.63796,1.515
2458864.248,1.613
2458864.4986,1.524
2458865.2556,1.5
2458865.3866,1.517
2458865.409,1.772
2458865.42792,1.536
2458865.56115,1.448
2458865.7417,1.512
2458865.7528,1.724
2458866.6438,1.491
2458867.6597,1.496
2458868.5847,1.487
2458869.2148,1.533
2458869.2479,1.547
2458869.2498,1.545
2458869.298,1.554
2458869.32021,1.36
2458869.39554,1.578
2458869.55915,1.54
2458870.37714,1.582
2458871.3069,1.48
2458871.375,1.47
2458871.725,1.604
2458872.2223,1.583
2458872.2369,1.574
2458872.2573,1.747
2458872.3181,1.552
2458872.3356,1.543
2458872.3957,1.564
2458873.7197,1.628
2458876.749,1.641
2458877.6898,1.543
2458877.7083,1.62
2458878.3935,1.55
2458878.7055,1.626
2458879.4059,1.583
2458879.7029,1.666
2458880.2995,1.595
2458880.3046,1.62
2458880.3566,1.609
2458880.3585,1.599
2458880.7,1.667
2458880.7549,1.571
2458881.698,1.675
2458882.6954,1.665
2458882.7963,1.583
2458883.56389,1.604
2458883.6918,1.582
