time,flux,flux_error,wavelength,band
2456598.09139,0.01950690996407422,0.0003992070860192993,0.54191692767119,ASAS_SN/Misc_APASS.V
2457365.97826,0.015282291504627359,0.00030447590461887066,0.54191692767119,ASAS_SN/Misc_APASS.V
2457119.91553,0.017594967924210014,0.00035372863381395237,0.54191692767119,ASAS_SN/Misc_APASS.V
2457448.95712,0.012687862966131074,0.00025576340563883583,0.54191692767119,ASAS_SN/Misc_APASS.V
2457343.04089,0.016633685255267646,0.0003326014770903334,0.54191692767119,ASAS_SN/Misc_APASS.V
2457449.86262,0.012376233070562005,0.0002503750334029836,0.54191692767119,ASAS_SN/Misc_APASS.V
2457487.84276,0.011928572636542472,0.00024271800683691025,0.54191692767119,ASAS_SN/Misc_APASS.V
2458417.10745,0.018888108962295015,0.0003839871191325794,0.54191692767119,ASAS_SN/Misc_APASS.V
2457799.99161,0.023430873505770215,0.0004276616383188568,0.54191692767119,ASAS_SN/Misc_APASS.V
2457322.09833,0.01830579014859303,0.0003701666196575046,0.54191692767119,ASAS_SN/Misc_APASS.V
2457064.93814,0.013285823525593599,0.0002663782808423095,0.54191692767119,ASAS_SN/Misc_APASS.V
2458037.12257,0.011624880025429375,0.00023769232348736584,0.54191692767119,ASAS_SN/Misc_APASS.V
2458429.0927,0.018766724541133182,0.00038101141712768895,0.54191692767119,ASAS_SN/Misc_APASS.V
2456736.9551,0.014473997039142239,0.0002885025475787169,0.54191692767119,ASAS_SN/Misc_APASS.V
2458433.10676,0.018611804389886407,0.0003773623215288202,0.54191692767119,ASAS_SN/Misc_APASS.V
2457366.98222,0.015254166395478759,0.00030391555553457714,0.54191692767119,ASAS_SN/Misc_APASS.V
2457408.00418,0.014262264272726794,0.0002845396716140795,0.54191692767119,ASAS_SN/Misc_APASS.V
2457144.8384,0.018888108962295015,0.0003839871191325794,0.54191692767119,ASAS_SN/Misc_APASS.V
2457361.12818,0.01575391433031292,0.00031401446375461483,0.54191692767119,ASAS_SN/Misc_APASS.V
2457490.8418,0.012387637253486416,0.0002504939568543497,0.54191692767119,ASAS_SN/Misc_APASS.V
2456735.79095,0.014581039264403324,0.00029063616378734283,0.54191692767119,ASAS_SN/Misc_APASS.V
2457110.77284,0.017305672450911663,0.0003472878890385211,0.54191692767119,ASAS_SN/Misc_APASS.V
2458153.92281,0.011276867547330538,0.00023200082976826866,0.54191692767119,ASAS_SN/Misc_APASS.V
2458030.14178,0.012923747950111876,0.0002599352256633568,0.54191692767119,ASAS_SN/Misc_APASS.V
2456972.07354,0.011786598215605749,0.000240360902062169,0.54191692767119,ASAS_SN/Misc_APASS.V
2457000.99237,0.011917591073102196,0.00024260208932644326,0.54191692767119,ASAS_SN/Misc_APASS.V
2457156.80904,0.019256993306528625,0.0003930501338012932,0.54191692767119,ASAS_SN/Misc_APASS.V
2458254.80624,0.011276867547330538,0.00023200082976826866,0.54191692767119,ASAS_SN/Misc_APASS.V
2458209.75336,0.01151830248474126,0.0002359288128307526,0.54191692767119,ASAS_SN/Misc_APASS.V
2457036.11985,0.011819210825260038,0.00024091932265499474,0.54191692767119,ASAS_SN/Misc_APASS.V
2457409.86004,0.01363290723127049,0.00027272199923015984,0.54191692767119,ASAS_SN/Misc_APASS.V
2457047.89594,0.012490748945222395,0.00025235357037428147,0.54191692767119,ASAS_SN/Misc_APASS.V
2457036.98948,0.012364839386442611,0.00025014453563959214,0.54191692767119,ASAS_SN/Misc_APASS.V
2457038.97935,0.012376233070562005,0.0002503750334029836,0.54191692767119,ASAS_SN/Misc_APASS.V
2457476.83166,0.012548403622773648,0.0002532918992893494,0.54191692767119,ASAS_SN/Misc_APASS.V
2456979.13205,0.011667786654557645,0.0002384643619698348,0.54191692767119,ASAS_SN/Misc_APASS.V
2457780.08683,0.02296087738872851,0.0004924601853207733,0.54191692767119,ASAS_SN/Misc_APASS.V
2457762.06689,0.022982034880216683,0.000493121098359861,0.54191692767119,ASAS_SN/Misc_APASS.V
2457747.13561,0.021566937484188944,0.00045303655376489096,0.54191692767119,ASAS_SN/Misc_APASS.V
2456794.77109,0.013164018363365977,0.0002641737361923119,0.54191692767119,ASAS_SN/Misc_APASS.V
2457705.05095,0.016435710367230648,0.0003283461331093413,0.54191692767119,ASAS_SN/Misc_APASS.V
2457308.12177,0.018137961655729312,0.0003662818688142084,0.54191692767119,ASAS_SN/Misc_APASS.V
2457806.00883,0.02334470979456876,0.0004260889733523982,0.54191692767119,ASAS_SN/Misc_APASS.V
2457453.95827,0.012722969305949603,0.0002563562620669353,0.54191692767119,ASAS_SN/Misc_APASS.V
2457389.07833,0.014170607839747829,0.0002827110775814318,0.54191692767119,ASAS_SN/Misc_APASS.V
2457801.9427,0.023734958650150018,0.00043321181770085323,0.54191692767119,ASAS_SN/Misc_APASS.V
2457437.78416,0.013384078631682101,0.00026810667446550737,0.54191692767119,ASAS_SN/Misc_APASS.V
2458111.95693,0.011475945562427552,0.00023526828094736665,0.54191692767119,ASAS_SN/Misc_APASS.V
2457395.0622,0.014607923284819704,0.00029117202878429626,0.54191692767119,ASAS_SN/Misc_APASS.V
2457051.96954,0.013043329917578032,0.00026198722002283273,0.54191692767119,ASAS_SN/Misc_APASS.V
2457406.01059,0.01396331320015489,0.00027882752038562597,0.54191692767119,ASAS_SN/Misc_APASS.V
2457844.85336,0.022729426580302973,0.00048585716950627763,0.54191692767119,ASAS_SN/Misc_APASS.V
2457899.75849,0.01878401729558754,0.0003815319972015829,0.54191692767119,ASAS_SN/Misc_APASS.V
2456752.77242,0.014144528642654001,0.00028231846014852523,0.54191692767119,ASAS_SN/Misc_APASS.V
2457758.00806,0.022294024776635186,0.0004733347768697021,0.54191692767119,ASAS_SN/Misc_APASS.V
2456807.77,0.012467761314255863,0.000251889145801,0.54191692767119,ASAS_SN/Misc_APASS.V
2456962.08898,0.011972600174119304,0.0002435058337795699,0.54191692767119,ASAS_SN/Misc_APASS.V
2457017.9643,0.011917591073102196,0.00024260208932644326,0.54191692767119,ASAS_SN/Misc_APASS.V
2458184.90523,0.011592803630469314,0.00023714105184919544,0.54191692767119,ASAS_SN/Misc_APASS.V
2457317.10754,0.018272100675661297,0.00036932048524739437,0.54191692767119,ASAS_SN/Misc_APASS.V
2457159.77891,0.01950690996407422,0.0003992070860192993,0.54191692767119,ASAS_SN/Misc_APASS.V
2457432.88121,0.013067378762207222,0.0002624702630792436,0.54191692767119,ASAS_SN/Misc_APASS.V
2457433.84516,0.013115609554525266,0.00026332064927860364,0.54191692767119,ASAS_SN/Misc_APASS.V
2457091.86982,0.015128242568976623,0.0003014067190177696,0.54191692767119,ASAS_SN/Misc_APASS.V
2457711.08868,0.01657251723896651,0.000331228795266812,0.54191692767119,ASAS_SN/Misc_APASS.V
2458112.94372,0.011808329941398523,0.0002406975299136214,0.54191692767119,ASAS_SN/Misc_APASS.V
2457526.76208,0.012262767083751151,0.0002484115547969473,0.54191692767119,ASAS_SN/Misc_APASS.V
2457390.99996,0.014170607839747829,0.0002827110775814318,0.54191692767119,ASAS_SN/Misc_APASS.V
2457507.83457,0.012571539939264556,0.00025375891021143246,0.54191692767119,ASAS_SN/Misc_APASS.V
2457023.91916,0.011797459074587716,0.00024058238461500763,0.54191692767119,ASAS_SN/Misc_APASS.V
2457414.99558,0.013899157603610244,0.0002776718833961598,0.54191692767119,ASAS_SN/Misc_APASS.V
2458437.0485,0.0183564408603259,0.00037135649170150014,0.54191692767119,ASAS_SN/Misc_APASS.V
2457479.90217,0.012285376753381884,0.0002487587066685301,0.54191692767119,ASAS_SN/Misc_APASS.V
2457333.10861,0.016834044832217808,0.0003369116898349427,0.54191692767119,ASAS_SN/Misc_APASS.V
2457854.87329,0.022294024776635186,0.0004733347768697021,0.54191692767119,ASAS_SN/Misc_APASS.V
2457465.87811,0.012687862966131074,0.00025576340563883583,0.54191692767119,ASAS_SN/Misc_APASS.V
2457502.84394,0.01229669721599697,0.00024898792744828705,0.54191692767119,ASAS_SN/Misc_APASS.V
2457832.96089,0.022897521709346075,0.0004906886003960165,0.54191692767119,ASAS_SN/Misc_APASS.V
2457512.82706,0.012206424786885864,0.00024749050111708685,0.54191692767119,ASAS_SN/Misc_APASS.V
2457369.04335,0.015268222474007793,0.00030419560105158784,0.54191692767119,ASAS_SN/Misc_APASS.V
2458207.88617,0.011423218382071608,0.0002343934290566649,0.54191692767119,ASAS_SN/Misc_APASS.V
2457062.03661,0.012467761314255863,0.000251889145801,0.54191692767119,ASAS_SN/Misc_APASS.V
2456985.04872,0.011873765823685567,0.00024181708928179004,0.54191692767119,ASAS_SN/Misc_APASS.V
2457042.96937,0.012664512571939412,0.00025529270569847465,0.54191692767119,ASAS_SN/Misc_APASS.V
2457762.89692,0.023258862938183928,0.0004245220916381071,0.54191692767119,ASAS_SN/Misc_APASS.V
2457537.74963,0.012195187429973144,0.00024726265888300793,0.54191692767119,ASAS_SN/Misc_APASS.V
2457672.1186,0.013139791665871604,0.00026380615086617177,0.54191692767119,ASAS_SN/Misc_APASS.V
2457325.10862,0.01792208280068874,0.0003612754130054342,0.54191692767119,ASAS_SN/Misc_APASS.V
2456751.77512,0.014354513545603739,0.0002862505202202197,0.54191692767119,ASAS_SN/Misc_APASS.V
2457420.9374,0.012746427480663744,0.00025682892295607367,0.54191692767119,ASAS_SN/Misc_APASS.V
2457073.93174,0.013151899436215963,0.0002639305352049317,0.54191692767119,ASAS_SN/Misc_APASS.V
2457035.12308,0.012330721230305977,0.00024956558682747673,0.54191692767119,ASAS_SN/Misc_APASS.V
2457858.88971,0.02223250913583542,0.000471627863222885,0.54191692767119,ASAS_SN/Misc_APASS.V
2457807.94433,0.023604156174896508,0.0004308244034693991,0.54191692767119,ASAS_SN/Misc_APASS.V
2457396.94586,0.01396331320015489,0.00027882752038562597,0.54191692767119,ASAS_SN/Misc_APASS.V
2457826.79627,0.023756829425256337,0.0004336110043342909,0.54191692767119,ASAS_SN/Misc_APASS.V
2457499.80495,0.012536851436719508,0.00025317185362100565,0.54191692767119,ASAS_SN/Misc_APASS.V
2457530.77088,0.012502258649752232,0.00025247327949793914,0.54191692767119,ASAS_SN/Misc_APASS.V
2457471.8215,0.012852525655337961,0.00025861872699616244,0.54191692767119,ASAS_SN/Misc_APASS.V
2457114.88573,0.017273823567095784,0.00034664874995507755,0.54191692767119,ASAS_SN/Misc_APASS.V
2458449.04868,0.018749447706561808,0.0003806606542010476,0.54191692767119,ASAS_SN/Misc_APASS.V
2457077.01898,0.013408755737110836,0.00026860100036226885,0.54191692767119,ASAS_SN/Misc_APASS.V
2457097.83225,0.01592899879634231,0.00031764811657004595,0.54191692767119,ASAS_SN/Misc_APASS.V
2457434.82649,0.013067378762207222,0.0002624702630792436,0.54191692767119,ASAS_SN/Misc_APASS.V
2458418.09945,0.019292498690735,0.0003937748261658198,0.54191692767119,ASAS_SN/Misc_APASS.V
2456802.76705,0.012502258649752232,0.00025247327949793914,0.54191692767119,ASAS_SN/Misc_APASS.V
2457068.9491,0.013470647741487589,0.00026971922176353345,0.54191692767119,ASAS_SN/Misc_APASS.V
2457836.84167,0.022939739375038855,0.0004920068215419122,0.54191692767119,ASAS_SN/Misc_APASS.V
2457363.08698,0.015812060939827226,0.0003151734694482443,0.54191692767119,ASAS_SN/Misc_APASS.V
2457462.78379,0.012536851436719508,0.00025317185362100565,0.54191692767119,ASAS_SN/Misc_APASS.V
2457430.89925,0.0133471481006635,0.00026748735954879624,0.54191692767119,ASAS_SN/Misc_APASS.V
2457444.96386,0.012330721230305977,0.00024956558682747673,0.54191692767119,ASAS_SN/Misc_APASS.V
2457510.79621,0.012606324422225017,0.0002543472761858131,0.54191692767119,ASAS_SN/Misc_APASS.V
2457671.12299,0.012995364923364446,0.0002611410862874809,0.54191692767119,ASAS_SN/Misc_APASS.V
2457451.86534,0.012793473663972897,0.0002576614022029249,0.54191692767119,ASAS_SN/Misc_APASS.V
2458109.95717,0.011539539536061587,0.00023625970371401347,0.54191692767119,ASAS_SN/Misc_APASS.V
2457401.8912,0.013809834675427296,0.0002760120768871733,0.54191692767119,ASAS_SN/Misc_APASS.V
2457448.01763,0.012364839386442611,0.00025014453563959214,0.54191692767119,ASAS_SN/Misc_APASS.V
2457829.96836,0.023430873505770215,0.0004276616383188568,0.54191692767119,ASAS_SN/Misc_APASS.V
2457404.87683,0.014066578670841365,0.00028076261360413055,0.54191692767119,ASAS_SN/Misc_APASS.V
2457078.86735,0.013759050968775458,0.00027499708165555447,0.54191692767119,ASAS_SN/Misc_APASS.V
2457054.96202,0.01229669721599697,0.00024898792744828705,0.54191692767119,ASAS_SN/Misc_APASS.V
2457137.8025,0.018611804389886407,0.0003773623215288202,0.54191692767119,ASAS_SN/Misc_APASS.V
2458443.02612,0.018801325984594396,0.0003818835630344827,0.54191692767119,ASAS_SN/Misc_APASS.V
2458075.09631,0.0112353984677264,0.00023135038357395454,0.54191692767119,ASAS_SN/Misc_APASS.V
2456624.98646,0.018749447706561808,0.0003806606542010476,0.54191692767119,ASAS_SN/Misc_APASS.V
2457774.05019,0.02260416555492601,0.00048216089619132593,0.54191692767119,ASAS_SN/Misc_APASS.V
2457007.03228,0.012206424786885864,0.00024749050111708685,0.54191692767119,ASAS_SN/Misc_APASS.V
2457778.05576,0.023560715734791186,0.0004300315260813598,0.54191692767119,ASAS_SN/Misc_APASS.V
2457163.74748,0.019363705970678553,0.0003955776309018945,0.54191692767119,ASAS_SN/Misc_APASS.V
2457416.98505,0.013285823525593599,0.0002663782808423095,0.54191692767119,ASAS_SN/Misc_APASS.V
2458195.87767,0.011614178044448536,0.00023757828439235443,0.54191692767119,ASAS_SN/Misc_APASS.V
2457009.03066,0.011928572636542472,0.00024271800683691025,0.54191692767119,ASAS_SN/Misc_APASS.V
2457420.02032,0.01335944694131973,0.00026773383800155897,0.54191692767119,ASAS_SN/Misc_APASS.V
2457040.97451,0.012274066712498036,0.00024864045569072366,0.54191692767119,ASAS_SN/Misc_APASS.V
2457689.09928,0.013937615502416857,0.00027831437388255707,0.54191692767119,ASAS_SN/Misc_APASS.V
2457101.92909,0.015958368138341054,0.00031823378527967913,0.54191692767119,ASAS_SN/Misc_APASS.V
2457134.79108,0.01825527919677436,0.00036898048510973215,0.54191692767119,ASAS_SN/Misc_APASS.V
2457429.90658,0.013261372661227296,0.00026588804557744556,0.54191692767119,ASAS_SN/Misc_APASS.V
2457459.94453,0.012852525655337961,0.00025861872699616244,0.54191692767119,ASAS_SN/Misc_APASS.V
2457783.05406,0.023301746832449167,0.0004253048109197612,0.54191692767119,ASAS_SN/Misc_APASS.V
2457504.81447,0.012433359166852275,0.00025130631240848463,0.54191692767119,ASAS_SN/Misc_APASS.V
2457697.11267,0.014634856873071454,0.00029170888179076384,0.54191692767119,ASAS_SN/Misc_APASS.V
2457044.9762,0.012664512571939412,0.00025529270569847465,0.54191692767119,ASAS_SN/Misc_APASS.V
2457171.74966,0.01997967775874072,0.0004110451594004701,0.54191692767119,ASAS_SN/Misc_APASS.V
2457379.94554,0.015268222474007793,0.00030419560105158784,0.54191692767119,ASAS_SN/Misc_APASS.V
2457131.81499,0.018339541737020213,0.0003710146171959039,0.54191692767119,ASAS_SN/Misc_APASS.V
2457350.0282,0.016633685255267646,0.0003326014770903334,0.54191692767119,ASAS_SN/Misc_APASS.V
2457071.91983,0.013200442188503093,0.0002647855433261062,0.54191692767119,ASAS_SN/Misc_APASS.V
2456816.74795,0.012183960418283747,0.0002470350264027717,0.54191692767119,ASAS_SN/Misc_APASS.V
2457797.98706,0.023237450596013006,0.0004241312723487278,0.54191692767119,ASAS_SN/Misc_APASS.V
2457403.95676,0.013899157603610244,0.0002776718833961598,0.54191692767119,ASAS_SN/Misc_APASS.V
